Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Не указано,6 декабря 2024,"“Ресторан ‘Окадзаки’ приятно удивил своим качеством и атмосферой. Здесь подают вкусные и сытные донеры, которые готовятся прямо на глазах. Мясо всегда свежее и с хорошими специями, а соусы добавляют приятную пикантность. Также приятно удивили порции – большие и насыщенные, что делает обед или ужин по-настоящему сытным. Интерьер простой, но уютный, идеальное место для быстрого перекуса или обеда. Обслуживание быстрое и вежливое. Цены вполне доступные для такого качества. Отличное место для любителей донеров и фастфуда!”",5,okadzaki.kz,4.7,708
Камила Кумарова,сегодня,"Мы сказали что курочка была ужасно приготовлена, нас не выслушали принесли то же самое блюдо, в итоге не решили проблему и не убрали из счета. Она была жирной и вкус жира оставался во рту",1,okadzaki.kz,4.7,708
Nurdaulet Orynbassar,сегодня,Не очень,1,okadzaki.kz,4.7,708
Saveliy Novikov,"22 апреля 2025, отредактирован","❗️пищевое отравление❗️
В прошедшую пятницу (11.04.2025 г. примерно в 20-21 ч) были с товарищем в данном заведении.
Если роллы, пили колу и чай.
Через 5-6 часов у обоих симптомы сильного пищевого отравления.
Кроме роллов в Okadzaki в тот вечер не ели вообще ничего.
Судя по всему, или работали грязными руками, или приготовили роллы с просроченной рыбой.
На горячую линию Okadzaki сообщил об этом утром в тот же день.
Хочется верить, что была организована проверка этого заведения.
UPD: фото заказа прилагаю",1,okadzaki.kz,4.7,708
Ольга .,21 апреля 2025,"Не рекомендую ,попросила стакан горячей воды отказали,сервиса нет ,обслуживание на нуле",1,okadzaki.kz,4.7,708
Madina Yermakhanova,"20 апреля 2025, отредактирован","Суши не вкусные, суховатые. Также уборку в помещении где сидят посетители можно было сделать после закрытия.",3,okadzaki.kz,4.7,708
qyrgyzbaeva ✨,"20 апреля 2025, отредактирован",Грубая официантка!😕,1,okadzaki.kz,4.7,708
nd. assel,"19 апреля 2025, отредактирован",вкусно и быстро.,5,okadzaki.kz,4.7,708
Нурдаулет Жарликапов,18 апреля 2025,Қызмет көрсету деңгейі өте керемет👍,5,okadzaki.kz,4.7,708
Alex Mirzaev,18 апреля 2025,Только музыку убрали бы ваше классно было бы,4,okadzaki.kz,4.7,708
Kamila Davidson,18 апреля 2025,Все было вкусно. Официант Бейбарыс очень вежливый,5,okadzaki.kz,4.7,708
Женис Рахман,18 апреля 2025,👍👍👍,5,okadzaki.kz,4.7,708
Apple User,17 апреля 2025,"Нурбек брат от души за обслужку, на высшем уровне каждый раз приветливо встречает и приветливо обслуживает 🫶🏼❤️",5,okadzaki.kz,4.7,708
ShabaqoV |,17 апреля 2025,Жақсы кафе сөз жоқ 4тен көп адам болып келіп едік басқа стол қосылды обслуживание керемет тамақтарыда жақсы советую,5,okadzaki.kz,4.7,708
Давид Ершов,12 апреля 2025,Хорошо сделали Баба ти все было вкусно большое спасибо,5,okadzaki.kz,4.7,708
Asem Mamyrbekova,11 апреля 2025,Всё классно👍🏻,5,okadzaki.kz,4.7,708
Bwg 🤍,10 апреля 2025,Было очень вкусно. Обслуживание топ. Спасибо повару Бірлес🥰,5,okadzaki.kz,4.7,708
Жанғали Ж,10 апреля 2025,Бірлес повор стейк жаксы істиді екен👍,5,okadzaki.kz,4.7,708
Chinese Work,10 апреля 2025,"“Все было очень вкусно, дети в восторге! Очень порадовало наличие детской площадки — это удобно для семей с детьми. Обслуживание на высшем уровне, особенно хочется отметить девушку по имени Жания — очень отзывчивая, быстрая, все принесла без задержек. Спасибо за отличный сервис!",5,okadzaki.kz,4.7,708
Kalamkas Shokenova,8 апреля 2025,"всегда вкусные суши, хорошее обслуживание. особенно всегда радует официант Нурбек",5,okadzaki.kz,4.7,708
Дурдона Нуралиева,7 апреля 2025,"Недавно побывали в кафе Окадзаки, и это было настоящее гастрономическое удовольствие!
Атмосфера уютная, всё оформлено со вкусом — чувствуешь себя комфортно с первой минуты. Обслуживание на высоте: приветливый персонал, быстро подают, всегда готовы помочь с выбором.",5,okadzaki.kz,4.7,708
Гульнур Кожамжарова,5 апреля 2025,"Вкусная кухня, хороший персонал, всё чисто! Спасибо официанту Нурбек. Всё принесли быстро, хорошее обслуживание!",5,okadzaki.kz,4.7,708
Ажара Алаудинова,4 апреля 2025,"Отличное заведение! Пицца горячая и вкусная с хрустящей корочкой, а роллы свежие и очень вкусные. Рекомендую!",5,okadzaki.kz,4.7,708
Baga .,3 апреля 2025,Классное заведение особенно спасибо официанту Нурбеку очень вежливый и очень аккуратный и внимательный 👍,5,okadzaki.kz,4.7,708
